"College","Campus","CRN","Course","Title","Meeting Days","Begin Time","End Time","Instructional Method","Part of Term","Credits","","","","","","","","","","","","",""
"College of Business","Downtown","5845","ACCT6001","Financial Info for Managers","T","6:15 PM","8:55 PM","Face-to-Face","2nd 8-Week Session (8B)","3","","","","","","","","","","","","",""
"College of Business","Downtown","7995","BAN6100","Spreadsheets for Bus Analytics","","","","Hybrid","2nd 8-Week Session (8B)","3","*Please note that travel time between Waimanalo and Downtown campus' will take longer than 30 minutes. Back-to-back courses ARE NOT recommended as you will not have enough time between classes","","","","","","","","","","","",""
"College of Business","Downtown","7294","BAN6200","Bus Analytics for Big Data","F","5:30 PM","8:10 PM","Hybrid","1st 8-Week Session (8A)","3","","","","","","","","","","","","",""
"College of Business","Downtown","6871","BAN6500","Methods in Project Management","R","6:00 PM","8:40 PM","Face-to-Face","1st 8-Week Session (8A)","3","","","","","","","","","","","","",""
"College of Business","Downtown","6975","BAN6550","Big Data","R","6:30 PM","9:10 PM","Face-to-Face","2nd 8-Week Session (8B)","3","","","","","","","","","","","","",""
"College of Business","Downtown","7578","ECON6000","Economics for Business","R","5:30 PM","8:10 PM","Face-to-Face","1st 8-Week Session (8A)","3","","","","","","","","","","","","",""
"College of Business","Downtown","7891","FIN6400","Corporate Finance","W","5:30 PM","8:10 PM","Face-to-Face","2nd 8-Week Session (8B)","3","","","","","","","","","","","","",""
"College of Business","Downtown","5179","MGMT6002","Leadership of Self & Others","M","6:15 PM","8:55 PM","Face-to-Face","2nd 8-Week Session (8B)","3","","","","","","","","","","","","",""
"College of Business","Downtown","4232","MKTG6001","Strategic Marketing","M","6:15 PM","8:55 PM","Face-to-Face","1st 8-Week Session (8A)","3","","","","","","","","","","","","",""
"College of Liberal Arts","Downtown","7189","AL5990","Introduction to Linguistics","M, W","3:45 PM","5:00 PM","Face-to-Face","16-Week Full Term (1)","3","","","","","","","","","","","","",""
"College of Liberal Arts","Downtown","5918","AL6000","Teachg Sec Lang: Theo & Practi","T, R","5:30 PM","6:45 PM","Face-to-Face","16-Week Full Term (1)","3","","","","","","","","","","","","",""
"College of Liberal Arts","Downtown","5920","AL6110","Eng Phonology/Teaching of Pron","T, R","2:00 PM","3:15 PM","Face-to-Face","16-Week Full Term (1)","3","","","","","","","","","","","","",""
"College of Liberal Arts","Downtown","7776","AL6140","Discrse Anlys for Lang Teacher","T, R","12:15 PM","1:30 PM","Face-to-Face","16-Week Full Term (1)","3","","","","","","","","","","","","",""
"College of Liberal Arts","Downtown","5922","AL6710","2nd Lang Listening & Speaking","T, R","3:45 PM","5:00 PM","Face-to-Face","16-Week Full Term (1)","3","","","","","","","","","","","","",""
"College of Liberal Arts","Downtown","6180","COM6000","Communication Theory","R","5:30 PM","8:10 PM","Face-to-Face","16-Week Full Term (1)","3","","","","","","","","","","","","",""
