"College","CRN","Course","Title","Meeting Days","Begin Time","End Time","Campus","Credits","Pre-req?","","","","","","","","","",""
"College of Business","5836","ACCT2000","Principles of Accounting I","T, R","10:30 AM","11:45 AM","Downtown","3","M & W","","","","","","","","","",""
"College of Business","5840","ACCT2010","Principles of Accounting II","R","6:15 PM","8:55 PM","Downtown","3","","*Some courses require to be registered for the lab component concurrently.","","","","","","","","",""
"","","","","","","","","","","*Please note that travel time between Waimanalo and Downtown campus' will take longer than 30 minutes. Back-to-back courses ARE NOT recommended as you will not have enough time between classes","","","","","","","","",""
"College of Liberal Arts","5911","AL2000","Introduction to Linguistics","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5913","AL3110","The English Sound System","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7773","AL3140","Intro to Discourse Analysis","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5914","AL3500","Second Lang Learning/Teaching","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5916","AL3950","Language Classroom Experience","F","3:00 PM","5:40 PM","Downtown","1","","","","","","","","","","",""
"College of Liberal Arts","7778","AMST2000","Multicultural America","T, R","8:45 AM","10:00 AM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","5718","ANTH2000","Cultural Anthropology","R","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7944","AQUA1200","Global Aquaculture","M, W","5:30 PM","6:45 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7763","ARTH3321","Art of Japan","M","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6159","ARTS1003","Sustainable Art & Design","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6160","ARTS1003","Sustainable Art & Design","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7421","ARTS2010","Beginning Drawing","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6955","ARTS3000","Arts Entrepreneurship","M, W","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6164","ARTS3020","Introduction to Painting","F","11:00 AM","1:40 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6150","BIOL1500","Conservation Biology","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6268","BIOL2030","Anatomy and Physiology I","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","7624","BIOL2030","Anatomy and Physiology I","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6963","BIOL2031","Anatomy and Physiology I Lab","W","6:00 PM","8:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6272","BIOL2032","Anatomy and Physiology II","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6274","BIOL2033","Anatomy and Physiology II Lab","F","11:00 AM","1:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6284","BIOL2050","General Biology I","M, W","8:45 AM","10:00 AM","Downtown","4","M","","","","","","","","","",""
"","","","","F","7:30 AM","8:20 AM","","","","","","","","","","","","",""
"College of Natural & Computational Sciences","6285","BIOL2050","General Biology I","M, W","8:45 AM","10:00 AM","Downtown","4","M","","","","","","","","","",""
"","","","","F","7:30 AM","8:20 AM","","","","","","","","","","","","",""
"College of Natural & Computational Sciences","6286","BIOL2051","General Biology I Lab","M","12:00 PM","2:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6287","BIOL2051","General Biology I Lab","M","3:00 PM","5:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6289","BIOL2051","General Biology I Lab","T","7:30 AM","10:10 AM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6290","BIOL2051","General Biology I Lab","T","12:00 PM","2:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6291","BIOL2051","General Biology I Lab","T","3:00 PM","5:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6297","BIOL2170","Ethnobotany: People and Plants","T, R","2:00 PM","3:15 PM","Downtown","3","W","","","","","","","","","",""
"College of Natural & Computational Sciences","7137","BIOL3010","Hawaiian Natural History","M, W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6298","BIOL3020","Plant Biology","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6299","BIOL3034","Human Physiology","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6300","BIOL3035","Human Physiology Laboratory","F","7:30 AM","10:10 AM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6302","BIOL3040","General Microbiology","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6895","BIOL3041","General Microbiology Lab","W","7:30 AM","10:10 AM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6304","BIOL3050","Genetics","M, W","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6977","BIOL3070","Marine Vertebrate Zoology","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6308","BIOL3071","Marine Vertebrate Zoology Lab","W","11:00 AM","1:40 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6976","BIOL3090","Biometry","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6316","BIOL3170","Cell and Molecular Biology","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6317","BIOL3171","Cell and Molecular Biology Lab","F","8:30 AM","11:10 AM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","7852","BIOL4210","Neuroscience","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Business","5848","BUS1000","Introduction to Business","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Business","5849","BUS1000","Introduction to Business","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Business","5853","BUS2500","Mathematics for Business","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Business","7787","BUS3995","Business Practices","F","10:00 AM","12:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6321","CHEM2050","General Chemistry I","M, W","12:15 PM","1:30 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","6325","CHEM2051","General Chemistry I Lab","F","7:30 AM","10:10 AM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6330","CHEM3010","Fundamental Organic Chemistry","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6896","CHEM3020","Physical Chemistry I","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6329","CHEM3030","Organic Chemistry I","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6331","CHEM3031","Organic Chemistry I Lab","M","8:30 AM","12:00 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6332","CHEM3031","Organic Chemistry I Lab","M","12:30 PM","4:00 PM","Downtown","1","","","","","","","","","","",""
"College of Natural & Computational Sciences","6338","CHEM4030","Biochemistry I","T, R","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","6339","CHEM4031","Biochemistry I Lab","F","12:00 PM","4:00 PM","Downtown","1","","","","","","","","","","",""
