"Course","Description","Co-requisite"
"ACCT2000","An introduction to fundamental accounting principles that include: the accounting cycle, records, classification of accounts, financial statements, accounting aids to internal control; current assets and liabilities; depreciation accounting; payroll accounting; accounting principles; and partnerships.",""
"ACCT2010","An emphasis on the elements of accounting for corporations. Topics covered include: long-term liabilities; statement of cash flows; introduction to manufacturing accounting; and cost-volume profit analysis.",""
"ACCT6001","This course provides an introduction to both financial and managerial accounting, and emphasizes the analysis and evaluation of accounting information from the perspective of both investors as well as managers in the processes of planning, decision-making, and control. This course also introduces elements of managerial accounting and emphasizes the development and use of accounting information for internal decisions.",""
"AL2000","AL 2000 is an introduction to the formal study of language. We investigate the nature of human vs. animal communication and survey subfields of linguistics including the structure of words, sentences, and sound systems. We examine society’s language use in phenomena such as slang, dialects, pidgins, creoles, and language extinction. Additional topics include the process of learning first and second languages, language change, and the relationships between languages. Students develop critical thinking and problem-solving skills through simulations of linguistic fieldwork exercises and responses to their own experiences with language learning.",""
"AL3110","An introductory course in the sound system of English. Topics include: articulatory phonetics, phonetic transcription, sound variation, syllable structure, word and sentence stress, intonation, and phonological rules. The focus is on the pronunciation problems ESOL students might have acquiring English.",""
"AL3140","An introductory course on the analysis of naturally occurring spoken or written discourse. Students will identify patterns of language in use at the discourse level and practice analytical skills on authentic language samples, with the goal of applying discourse analytical findings to language teaching.",""
"AL3500","An introduction to the major theories and issues in the field of second language learning and second language teaching. Topics include first language acquisition, theories of second language acquisition, factors affecting second language acquisition, and learner language. Contemporary perspectives on designing, managing, and assessing language classes will also be covered.",""
"AL3950","Observation experiences in a wide range of language classes. Students may also tutor language learners and assist language teachers in the classroom and/or in co-curricular activities. They meet in periodic seminars, document their observations in a personal log, and reflect on their growing professionalism in a virtual learning community. The course is usually taken one credit at a time over three terms. Repeatable for up to 3 credits.",""
"AL5990","AL 5990 is an introduction to the formal study of language. We investigate the nature of human vs. animal communication and survey subfields of linguistics including the structure of words, sentences, and sound systems, and their relevance to language learning and teaching. We examine society’s language use in phenomena such as slang, dialects, pidgins, creoles, and language extinction. Additional topics include the process of learning first and second languages, language change, and the relationships between languages. Students develop critical thinking and problem-solving skills through simulations of linguistic fieldwork exercises and responses to their own experiences with language learning.",""
"AL6000","The course examines major theories of second language acquisition and covers the key concepts and principles in second language learning, second language teaching, and second language research within the field of Teaching English to Speakers of Other Languages (TESOL). Lesson planning, classroom management, and teacher development are also discussed.",""
"AL6110","An advanced course in English phonology for the prospective teacher of spoken English. Topics include the sound system of North American English; the interaction of the sound system with listening, grammar, and orthography; and methods of teaching and improving pronunciation.",""
"AL6140","This course focuses on the analysis of language use in written texts or in spoken social interaction. Students will learn key concepts related to how language works at the discourse level and develop discourse analytical skills on authentic language samples. They will relate these concepts and analytical skills to the development of communicative competence in language learning and teaching.",""
"AL6710","This course examines both pedagogical and research issues in the teaching of second language speaking and communication processes, communicative competence, language-focused learning, meaning-focused input, meaning-focused output, fluency, syllabus design and lesson planning, and the assessment of listening and speaking skills.",""
"AMST2000","Students explore American culture and values through analyzing primary texts while focusing on a specific theme, topic, historical period, or the experiences of a particular group. The particular emphasis is reflected in the course title and the course may be repeated for credit if the topic changes.",""
"ANTH2000","A general introduction to cultural anthropology. Topics covered include: the nature of culture, basic concepts for analyzing cultural behavior, and consideration of the effects of culture upon the individual and society.",""
"AQUA1200","Students will learn about the interdisciplinary field of aquaculture, which plays a critical role in global food production and aquatic ecosystem conservation. Topics to be covered include water quality, culture systems, nutrition, biology of fish and shrimp culture, and aquatic animal disease. Topics will be integrated into a broader context where students will learn about the role of aquaculture in global food security, human health, and aquatic ecosystem conservation, as well as aspects of operating an aquaculture business. The course will be taught by leading researchers from Oceanic Institute, HPU faculty, and local content experts.",""
"ARTH3321","The art of Japan from earliest times to the nineteenth century. Painting, sculpture, and architecture in light of indigenous ideas and foreign contacts are examined.",""
"ARTS1003","An introductory visual arts course that covers sustainability as it relates to art and design. Artists and designers who consciously implement sustainability practices will be explored, with an attention to historical context and larger cultural meaning. Students also complete basic studio art projects and group projects that relate to sustainability. Lectures and studio demonstrations.",""
"ARTS2010","This course is an introduction to basic drawing techniques. Students will use various media to create form-space relationships through contour line, value, shape, perspective and composition. Emphasis is on developing confidence in observational drawing skills and visual problem solving.",""
"ARTS3000","This course is designed to equip aspiring artists with the essential skills and knowledge needed to thrive in the competitive art world. Students will be guided through the intricacies of building a sustainable art career, exploring such key topics as marketing, financial management, legal considerations, and networking strategies tailored specifically for artists. Students will engage with assigned readings, practical exercises, and case studies. By the end of the course, students will have developed a comprehensive business plan and a personalized strategy for achieving their artistic and entrepreneurial goals. This class will require volunteer activities with community non-profit organizations.",""
"ARTS3020","This course introduces basic painting techniques and pro- vides an introduction to the theory and practice of painting. Students will explore a variety of media, techniques, and concepts that pertain to painting.",""
"BAN6100","Spreadsheet tools like Excel are an essential tool for working with data - whether for data analytics, business, marketing, or research. This course is designed to give you advanced working knowledge of Excel and how to use it to prepare, clean, and analyze data.",""
"BAN6200","This course provides you with the fundamental theories, concepts, ethics, and tools to understand the emerging role of Business Analytics in modern organizations, apply visualization techniques, and communicate with analytics professionals to effectively use and interpret analytic models and results for making better business decisions.",""
"BAN6500","This course combines project management topics with modern methods of software support. You will learn about initiating, planning, executing, monitoring/controlling, and closing processes of predictive project management. You will also learn about Agile project management methodology and related processes.",""
"BAN6550","This course covers methods for the design, implementation, and management of Big Data analytics. It focuses on technologies and modeling methods for large-scale, distributed analytics. Upon successful completion of the course, you will become familiar with the fundamental concepts of Big Data management, recognize challenges, and understand how Big Data impacts Business Analytics, including proposing scalable solutions for organizations.",""
"BIOL1500","An introductory undergraduate course designed to introduce students to the biological sciences. The course will emphasize the nature of biodiversity, the growing threats to biodiversity, and ecologically sound conservation, and resource management practices designed to slow its loss.",""
"BIOL2030","The first semester of a comprehensive introduction to the structure and function of the human body. The course includes topics such as gross body organization and related terminology; review of cell structure and function; and anatomy and physiology of the integumentary, musculoskeletal, nervous, and endocrine systems from the molecular level in cells to the integrated working of the human body.",""
"BIOL2031","Laboratory component of BIOL 2030.",""
"BIOL2032","A continuation of BIOL 2030. The course includes topics such as the circulatory and immune systems, respiration, body fluid balance, urinary system, reproduction and inheritance, and human development.",""
"BIOL2033","Laboratory component of BIOL 2032.",""
"BIOL2050","The first semester of a rigorous introduction to modern biology for students intending to major in the natural sciences. The course includes topics related to biological structure and function, from the molecular level in cells to the integrated metabolic processes of organisms. Mechanisms of heredity and biological evolution are taught as unifying themes in biology.",""
"BIOL2051","Laboratory component of BIOL 2050.",""
"BIOL2170","An introduction to the history of human use of plants as food, medicine, and materials, with emphasis on examples from the Hawaiian Islands. Patterns of cultural interchange promoting the collection and spread of knowledge of plants and their cultivation and use will be examined, as well as prospects for future discoveries from ethnobotanical study of different cultures.",""
"BIOL3010","The unique biota in marine, freshwater, and terrestrial habitats of the Hawaiian Islands: evolutionary history, ecology, and human impacts on Hawaiian ecosystems are focuses.",""
"BIOL3020","The evolution, comparative anatomy, physiology, and life cycles of members of the plant kingdom from algae to flowering plants.",""
"BIOL3034","A course designed to help students understand the major functional systems of the human body. Topics include: organ systems, biochemical interactions of cells and tissues, hormonal control, fluid dynamics and osmotic regulation, development, homeostasis, and pathology. Consideration is given to both classic and recent physiological research.",""
